,tradingsymbol,exchange,quantity,timeframe,multiplier,entry_price,entry_time,exit_price,exit_time,target_price,sl_price,Row_Type,profit,ltp,Trend,user_id
0,NIFTY2260916500CE,NFO,0,1,1,1.0,2022-06-09 13:42:04.073268,1.0,2022-06-09 13:42:06.182494,-14.0,-6.0,F,0.0,1.0,BUY,MH0069
1,NIFTY2260916500CE,NFO,50,1,1,1.0,2022-06-09 13:42:04.073268,1.0,2022-06-09 13:42:06.182494,-14.0,-6.0,F,0.0,1.0,BUY,Y94889
